Hostname,Manufacturer,Model,Service tag,Operating system,Install date,IP address
4GSEBIA,Dell Inc.,PowerEdge R610,FWGHC2S,Microsoft Windows Server 2008 R2 Standard,28-03-2012 08:30:16,"['192.168.0.1', '160.221.230.150', '192.168.2.1']"
4GSDVMA,Dell Inc.,PowerEdge R320,DXK6X02,Microsoft Windows Server 2008 R2 Standard,21-05-2014 08:23:26,"['192.168.1.10', '192.168.0.10', '169.168.1.10']"
